1,180.5,-0.707106686,,,,,,,
7.1,253.8513344,-0.68307687,,,,,,,
7.1,,-0.68307687,,,,,,,
26,,-0.608623834,,,,,,,
26.125,,-0.60813142,,,,,,,0.711046095
29,,-0.596805892,,,,,,,
29.15,,-0.596214995,,,,,,,
32,,-0.584987949,,,,,,,
32.1,,-0.584594018,,,,,,,
34.2,,-0.576321459,,,,,,,
35.6,,-0.570806419,,,,,,,
35.7,,-0.570412487,,,,,,,
43.1,,-0.541261563,,,,,,,
47.4,,-0.524322513,,,,,,,
48,,-0.521958924,,,,,,,
59,,-0.478626469,,,,,,,
59.3,,-0.477444675,,,,,,,
62.4,,-0.465232801,,,,,,,
71,,-0.4313547,,,,,,,
72.05,,-0.427218421,,,,,,,
72.7,,-0.424657866,,,,,,,
73,,-0.423476072,,,,,,,
77,,-0.407718816,,,,,,,
77,,-0.407718816,,,,,,,
92.11111111,,-0.348191403,,,,,,,
93.5,,-0.342720134,,,,,,,
95.1,,-0.336417231,,,,,,,
95.4,,-0.335235437,,,,,,,
95.5,,-0.334841505,,,,,,,
96,,-0.332871848,,,,,,,
96.4,,-0.331296123,,,,,,,
97.1,,-0.328538603,,,,,,,
98,,-0.32499322,,,,,,,
102.3,,-0.30805417,,,,,,,
103.9,,-0.301751267,,,,,,,
145,,-0.139845459,,,,,,,
146.8,,-0.132754693,,,,,,,
151.6666667,,-0.113583365,,,,,,,
158.6666667,,-0.086008166,,,,,,,
168.5,,-0.047271578,,,,,,,
263.5,,0.32696326,,,,,,,
309.75,,0.509156536,,,,,,,
360,,0.707107068,,,,,,,
