Destination,DDR32B,DDR1KB,DDR256KB,DDR512KB,DDR1MB
75-130-96-12.static.oxfr.ma.charter.com,24.547986302789568,24.399440983677717,10.425385594039241,10.140438122326783,9.780612792214447
ebb.colgate.edu,22.75770912100608,22.48736058865228,1.3423466743399957,0.8864837884425193,0.5340075304505509
node1.planetlab.mathcs.emory.edu,24.008610145685466,23.822936618617167,1.8545992205509434,1.2282805085790083,1.0061577764367613
node2.planetlab.mathcs.emory.edu,24.204015014636436,23.936164287126775,1.909274536413601,1.2310680853335079,1.1017111930777654
pl1.cs.montana.edu,12.733400357788689,12.56606020807598,1.2919731047707952,1.1579491630530085,0.6374481217336125
pl2.cs.unm.edu,10.007083018024288,10.007083018024288,0.8877389043324717,0.5394648616589285,0.6482667409568332
pl3.cs.unm.edu,19.249670188175493,19.374346828854662,1.4242069437065106,1.1182929871348717,1.0221530289381306
planet3.cc.gt.atl.ga.us,24.594064345965144,24.58345375852585,1.6250753752034997,1.2637491084504393,0.9631897521263634
planetlab-01.vt.nodes.planet-lab.org,19.497980874284462,19.36970195659354,9.034729625074762,8.797802248504636,8.367139987429443
planetlab-04.vt.nodes.planet-lab.org,19.73097717264588,19.824364918512728,1.6416957558791125,1.2908185849022467,0.8255469007449351
planetlab01.cs.washington.edu,28.86614587090393,28.64786548042971,2.2095315084856515,1.7845610172258755,1.3480726510432284
planetlab02.cs.washington.edu,28.853661600998127,28.37687298206181,2.2119086969367507,1.7958234760824898,1.3246858117189972
planetlab1.acis.ufl.edu,21.24663717273206,20.985548462274167,1.2295160094116917,0.9926986959100826,0.5118032790091188
planetlab1.arizona-gigapop.net,25.10112858239213,25.15196028520555,1.8660651639522026,1.340799019925647,1.1843707092828155
planetlab1.cnis.nyit.edu,14.794910988277389,14.55909928331967,1.3814322205732072,1.17965513568537,0.7053121244285093
planetlab1.cs.du.edu,23.632600601500865,23.657526472204903,1.4814682501236824,1.0704946115459222,1.096154387714837
planetlab1.cs.okstate.edu,22.99173627570174,22.737878995094874,1.7152899934493524,1.0944776813477193,0.9888770320922429
planetlab1.cs.ucla.edu,21.35245298778531,21.27181231162084,1.6768279459608944,1.5053267121661005,0.9815215253837023
planetlab1.cs.uml.edu,20.9414429811708,20.752039971582942,1.5560127123100442,1.2902145330381292,0.9376510454733396
planetlab1.cs.unc.edu,18.727635099067662,18.751847119912934,1.3689656397730035,1.1984279647180538,0.7600125047325144
planetlab1.temple.edu,25.46015393534854,25.413267709573734,1.8487865253903084,1.4756791261732574,1.0237346771680937
planetlab1.ucsd.edu,25.335132465218965,25.363644302056677,2.095085218334049,1.600451438947125,1.2197916338156012
planetlab1.unr.edu,26.209357408057652,26.164937417969977,1.7819306860287403,1.4841647704675547,1.3134421646357015
planetlab2.acis.ufl.edu,23.521077472157167,20.934256887392632,1.2547577345100065,0.9748320653789626,0.5161173450305983
planetlab2.arizona-gigapop.net,25.160977454715233,25.11848442757676,1.8979220126244924,1.3248745130442237,1.2952431112605314
planetlab2.citadel.edu,19.971170782846244,20.00700196313798,1.394455468795852,1.1727870869955133,0.8588165402947016
planetlab2.cnis.nyit.edu,15.31395381075792,14.865962049764942,1.4403903182191933,1.230092313689728,0.7732046232158908
planetlab2.cs.du.edu,23.84297304610862,23.721633418133003,1.4736868811472323,1.0583535865627076,1.0781523854557444
planetlab2.cs.pitt.edu,22.348061687439994,22.156610108600706,1.1663189652102852,1.0448141023600126,0.5716735501377695
planetlab2.cs.ucla.edu,20.58620988097743,20.735636344491784,1.6610035413515116,1.5558937994363427,1.0121922992341243
planetlab2.cs.unc.edu,20.493390023453184,20.23244449631978,1.9011860005117558,1.4988242032248096,0.9232125590893993
planetlab2.cs.uoregon.edu,24.631861056116882,24.656003448078604,1.839331818352514,1.7374709426850552,0.9699668139634872
planetlab2.temple.edu,25.85255166183751,25.866823951173878,1.8760901461607995,1.471750571418543,1.0668654565669284
planetlab2.unl.edu,23.228900467871615,23.10025391078568,1.7255460467910944,1.114753307860392,1.0137780126918003
planetlab2.unr.edu,25.159162472568006,25.333952172561165,1.7410555143363138,1.488153494042945,1.3157798259895894
planetlab2.uta.edu,23.73828846797209,23.502125904511328,1.8980886466525517,1.164502579190024,1.071555828167414
planetlab3.cnds.jhu.edu,23.05100663946438,22.761649391254632,1.931176738395544,1.3888221043542828,0.9805141083049602
planetlab3.cs.uoregon.edu,25.09390234246708,24.992823366742282,1.814619941779422,1.7423851817164744,1.0066654600236784
planetlab3.eecs.umich.edu,24.73556065479867,24.82838534317222,2.0228702154951788,1.2168794593820456,1.044979342245016
planetlab3.ucsd.edu,26.367228778045572,26.407437041821574,2.066352431949269,1.624320276737708,1.2211249201663956
planetlab3.wail.wisc.edu,18.810412304703043,18.69214354221513,1.4332452658324772,1.0193707292508924,1.0187854030195793
planetlab4.cs.uoregon.edu,24.184760222526137,24.16369759189548,1.7626431767889432,1.6479109183808545,0.9686779303294083
planetlab5.csee.usf.edu,24.809896769679906,24.555456761151035,2.0015090635488777,1.5297390447818933,1.1297297198970724
planetlabone.ccs.neu.edu,26.245281286817722,25.96056196400059,1.7097143465185423,1.4757641477032148,1.066175971289941
planetlabtwo.ccs.neu.edu,26.772978606128564,26.541823444909536,1.719839898710854,1.5321002756778221,1.1147378600321702
salt.planetlab.cs.umd.edu,24.666938416894713,24.23601440646615,2.021088146935506,1.418675361267764,0.996299094712156
