id,source,destination,distance
1,planetlab1.unr.edu,planetlab1.unr.edu,0
2,planetlab1.unr.edu,pl2.cs.unm.edu,785.352
3,planetlab1.unr.edu,planetlab2.cnis.nyit.edu,2412.34
4,planetlab1.unr.edu,planetlab2.rutgers.edu,2376.79
5,planetlab1.unr.edu,planetlab2.cs.du.edu,789.709
6,planetlab1.unr.edu,planetlab2.ucsd.edu,482.211
7,planetlab1.unr.edu,planetlab3.cs.uoregon.edu,352.99
8,planetlab1.unr.edu,planetlab-01.bu.edu,2514.97
9,planetlab1.unr.edu,planetlab4.cnds.jhu.edu,2283.47
10,planetlab1.unr.edu,planetlabtwo.ccs.neu.edu,2518.17
11,planetlab1.unr.edu,planetlab1.cs.purdue.edu,1732.68
12,planetlab1.unr.edu,planetlab2.tsuniv.edu,1804.32
13,planetlab1.unr.edu,planetlab1.tsuniv.edu,1804.32
14,planetlab1.unr.edu,planetlab3.ucsd.edu,482.211
15,planetlab1.unr.edu,pl-node-1.csl.sri.com,192.546
16,planetlab1.unr.edu,node2.planetlab.mathcs.emory.edu,1993.27
17,planetlab1.unr.edu,planetlab5.csee.usf.edu,2269.85
18,planetlab1.unr.edu,planetlab1.emich.edu,1885.32
19,planetlab1.unr.edu,75-130-96-12.static.oxfr.ma.charter.com,2480.67
20,planetlab1.unr.edu,ebb.colgate.edu,2287.31
21,planetlab1.unr.edu,kc-sce-plab2.umkc.edu,1345.51
22,planetlab1.unr.edu,node1.planetlab.mathcs.emory.edu,1993.27
23,planetlab1.unr.edu,pl1.cs.montana.edu,614.077
24,planetlab1.unr.edu,pl3.cs.unm.edu,785.352
25,planetlab1.unr.edu,plab3.eece.ksu.edu,1237.41
26,planetlab1.unr.edu,planet3.cc.gt.atl.ga.us,1989.75
27,planetlab1.unr.edu,planetlab-01.cs.princeton.edu,2366.58
28,planetlab1.unr.edu,planetlab-02.bu.edu,2514.97
29,planetlab1.unr.edu,planetlab-02.vt.nodes.planet-lab.org,2123.48
30,planetlab1.unr.edu,planetlab04.cs.washington.edu,574.294
31,planetlab1.unr.edu,planetlab1.clemson.edu,2050.35
32,planetlab1.unr.edu,planetlab1.cnds.jhu.edu,2283.47
33,planetlab1.unr.edu,planetlab1.cnis.nyit.edu,2412.34
34,planetlab1.unr.edu,planetlab1.cs.du.edu,789.709
35,planetlab1.unr.edu,planetlab1.csee.usf.edu,2269.85
36,planetlab1.unr.edu,planetlab-1.cse.ohio-state.edu,1940.03
37,planetlab1.unr.edu,planetlab1.cs.okstate.edu,1259.87
38,planetlab1.unr.edu,planetlab1.cs.ucla.edu,385.402
39,planetlab1.unr.edu,planetlab1.csuohio.edu,1991.53
40,planetlab1.unr.edu,planetlab1.emich.edu,1885.32
41,planetlab1.unr.edu,planetlab1.netlab.uky.edu,1892.24
42,planetlab1.unr.edu,planetlab1.ucsd.edu,482.211
43,planetlab1.unr.edu,planetlab2.acis.ufl.edu,2222.92
44,planetlab1.unr.edu,planetlab2.arizona-gigapop.net,707.239
45,planetlab1.unr.edu,planetlab2.citadel.edu,2252.22
46,planetlab1.unr.edu,planetlab-2.cse.ohio-state.edu,1940.03
47,planetlab1.unr.edu,planetlab2.cs.pitt.edu,2093.1
48,planetlab1.unr.edu,planetlab2.cs.purdue.edu,1732.68
49,planetlab1.unr.edu,planet-lab2.cs.ucr.edu,408.842
50,planetlab1.unr.edu,planetlab2.cs.uiuc.edu,1667.79
51,planetlab1.unr.edu,planetlab2.cs.uml.edu,2499.26
52,planetlab1.unr.edu,planetlab2.cs.unc.edu,2223.18
53,planetlab1.unr.edu,planetlab2.cs.uoregon.edu,352.99
54,planetlab1.unr.edu,planetlab2.temple.edu,2346.81
55,planetlab1.unr.edu,planetlab2.unl.edu,1221.7
56,planetlab1.unr.edu,planetlab2.unr.edu,0
