avgdelay
816
132
171
104
107
168
127
100
100
67
67
67
67
67
67
67
67
1107
766
1055
730
296
291
289
293
764
3896
759
931
758
276
1030
269
288
760
5019
996
1845
1041
1374
1002
891
941
937
5273
1239
762
1249
650
739
994
1798
952
2689
923
1120
1088
1082
1060
1056
999
1440
881
757
290
761
1040
462
363
295
303
897
292
300
767
299
764
298
755
0
0
554
270
731
277
276
763
750
271
279
3386
1049
1128
1142
1089
1143
973
1138
1145
4583
1146
1053
1014
964
1077
1008
1013
1042
1105
818
521
683
1182
824
812
745
482
2821
1120
3218
1050
1050
1025
1133
1158
1039
7524
7836
9955
973
747
1605
1343
489
887
1334
825
1189
1968
792
683
429
892
1030
789
1192
472
1669
2035
3062
1229
1008
2871
1603
1128
936
1081
2829
3524
7106
11951
1094
1448
1066
5254
657
757
1137
791
334
773
324
322
768
0
947
137
151
175
253
164
141
249
153
959
2975
993
910
1149
1060
1183
1815
997
3445
1008
791
754
980
1635
972
1849
1338
879
1282
1120
1321
481
814
1101
2259
1013
1876
1022
1139
1116
1027
1013
1027
2290
1702
1558
1358
2322
1341
803
652
1768
1182
959
1042
1135
1240
783
835
981
302
818
524
893
4819
254
865
821
531
290
331
253
761
3593
1466
1029
1000
1051
836
3309
1031
1018
365
325
4178
1023
1784
2075
1014
1045
1141
2151
1036
613743
489045
617724
306158
141636
256952
276243
53879
164971
1573
778
814
570
780
778
779
1099
344
989
137
1589
301
172
195
193
153
227
0
3375
1355
601
2148
1833
1010
625
1017
1371
3318
3756
1013
1028
2162
1031
1768
1066
1041
1044
999
983
975
985
1029
877
1015
968
1386
1528
741
836
805
1156
844
804
684
579
261
757
296
733
255
689
748
264
3781
996
1554
739
1075
929
1013
1096
1018
2566
325
979
577
723
770
324
274
793
851
1062
1056
592
822
1459
986
462
481
833
490
2767
586
1057
2493
1053
1013
1058
1061
487
664
1249
869
1105
815
1187
838
695
165
136
629
148
149
132
155
123
763
180
866
269
130
121
287
140
125
