source,destination,distance,avg(dd.avgdelay)
pl3.cs.unm.edu,planetlab-04.vt.nodes.planet-lab.org,1466.68,3005
pl1.cs.montana.edu,ebb.colgate.edu,1754.34,3008
planetlab1.cs.ucla.edu,planetlab1.cs.uml.edu,2585.79,3013
planetlab1.cs.uml.edu,salt.planetlab.cs.umd.edu,387.717,3015.5
planetlab2.unl.edu,planetlab1.cs.uml.edu,1308.08,3016
planetlab1.acis.ufl.edu,pl1.cs.montana.edu,1905.96,3023.3333333333335
planetlab2.acis.ufl.edu,pl1.cs.montana.edu,1905.96,3023.6
planetlab-04.vt.nodes.planet-lab.org,planetlab2.unr.edu,2123.48,3025
pl1.cs.montana.edu,planetlabtwo.ccs.neu.edu,1980.62,3040
planetlab1.cnis.nyit.edu,planetlab2.unl.edu,1202.47,3045
planetlab1.cs.ucla.edu,planetlab2.citadel.edu,2207.47,3045
node2.planetlab.mathcs.emory.edu,planetlab2.acis.ufl.edu,308.555,3048
planetlab3.cnds.jhu.edu,planetlab01.cs.washington.edu,2326.5,3052.5
planetlab1.cnis.nyit.edu,planetlab2.cs.du.edu,1646.66,3053
planetlab2.cs.ucla.edu,planetlab2.cnis.nyit.edu,2475.81,3056
planetlab4.cs.uoregon.edu,planetlab2.cs.unc.edu,2367.57,3057
planetlab3.cnds.jhu.edu,planetlab2.acis.ufl.edu,740.412,3066
pl1.cs.montana.edu,planetlab1.cs.unc.edu,1789.91,3066.5
pl3.cs.unm.edu,planetlab2.citadel.edu,1533.43,3067
pl1.cs.montana.edu,planetlab2.acis.ufl.edu,1905.96,3067.5
planetlab3.wail.wisc.edu,planetlab1.acis.ufl.edu,1005.74,3074
planetlab3.cs.uoregon.edu,planetlab2.cs.pitt.edu,2196.01,3076
planetlab4.cs.uoregon.edu,planetlab3.cnds.jhu.edu,2387.39,3080
pl1.cs.montana.edu,planetlab2.citadel.edu,1869.86,3080.75
planetlab5.csee.usf.edu,planetlab2.cs.pitt.edu,854.202,3082
planetlab2.temple.edu,planetlab1.unr.edu,2346.81,3083.5
pl3.cs.unm.edu,planetlab2.cs.ucla.edu,674.089,3085
planetlab1.unr.edu,planetlab2.cs.pitt.edu,2093.1,3089
75-130-96-12.static.oxfr.ma.charter.com,planetlab2.cs.ucla.edu,2562.54,3093
planetlab5.csee.usf.edu,pl1.cs.montana.edu,1978.28,3095.25
ebb.colgate.edu,planetlab4.cs.uoregon.edu,2352.72,3103
pl1.cs.montana.edu,planetlab5.csee.usf.edu,1978.28,3103
planetlab1.cs.okstate.edu,planetlab1.acis.ufl.edu,965.673,3107
planetlab1.cs.ucla.edu,planetlab2.cnis.nyit.edu,2475.81,3113
planetlab2.uta.edu,planetlab2.cnis.nyit.edu,1410.2,3114
planetlab1.cs.unc.edu,pl1.cs.montana.edu,1789.91,3119
pl1.cs.montana.edu,planetlabone.ccs.neu.edu,1980.62,3119.6666666666665
planetlab2.cnis.nyit.edu,ebb.colgate.edu,170.413,3121
planetlab2.temple.edu,planetlab3.cs.uoregon.edu,2440.52,3122.3333333333335
planetlab1.cs.uml.edu,ebb.colgate.edu,213.892,3123
planetlab1.cs.uml.edu,75-130-96-12.static.oxfr.ma.charter.com,36.0409,3124
planetlab1.cs.ucla.edu,planetlab1.cs.unc.edu,2218.84,3128
planetlab2.citadel.edu,pl1.cs.montana.edu,1869.86,3128.5
planetlab1.cs.unc.edu,planetlab2.acis.ufl.edu,470.121,3134
pl1.cs.montana.edu,planetlab1.cs.uml.edu,1959.66,3136.5
planetlab3.cnds.jhu.edu,planetlab02.cs.washington.edu,2326.5,3137
75-130-96-12.static.oxfr.ma.charter.com,planetlab2.acis.ufl.edu,1046.62,3140
pl3.cs.unm.edu,planetlab2.cnis.nyit.edu,1831.99,3144.5
planetlab3.eecs.umich.edu,planetlab1.acis.ufl.edu,875.297,3144.5
planetlab3.cs.uoregon.edu,planetlab1.cs.uml.edu,2557.8,3145
planetlab5.csee.usf.edu,ebb.colgate.edu,1089.95,3149
planetlab1.cs.du.edu,planetlab2.acis.ufl.edu,1456.94,3149.5
planetlab1.cs.okstate.edu,planetlab2.acis.ufl.edu,965.673,3150
planetlab2.cs.ucla.edu,planetlab1.temple.edu,2398.59,3153
planetlab3.cnds.jhu.edu,planetlab1.cs.du.edu,1505.97,3153
planetlab4.cs.uoregon.edu,ebb.colgate.edu,2352.72,3156
planetlab2.temple.edu,planetlab2.acis.ufl.edu,817.442,3160
planetlab2.cs.ucla.edu,planetlab1.acis.ufl.edu,2132.9,3161
pl3.cs.unm.edu,planetlab1.cs.unc.edu,1549.05,3163
planetlab3.wail.wisc.edu,planetlab1.cs.unc.edu,739.774,3163
planetlab2.cs.ucla.edu,pl3.cs.unm.edu,674.089,3165
planetlab3.cnds.jhu.edu,pl1.cs.montana.edu,1793.8,3169
planetlab2.cs.ucla.edu,planetlab2.unr.edu,385.402,3178
planetlab2.citadel.edu,ebb.colgate.edu,733.032,3185
planetlab-04.vt.nodes.planet-lab.org,planetlab1.acis.ufl.edu,530.866,3185
planetlab1.cs.uml.edu,planetlab1.unr.edu,2499.26,3187
pl1.cs.montana.edu,planetlab2.cnis.nyit.edu,1896.37,3188
planetlab02.cs.washington.edu,planetlab1.cs.unc.edu,2336.95,3189
planetlab2.cs.pitt.edu,planetlab2.cs.ucla.edu,2142.12,3193
planetlab02.cs.washington.edu,planetlab1.acis.ufl.edu,2453.73,3195
planetlabone.ccs.neu.edu,planetlab2.cs.ucla.edu,2601.94,3197
planetlab2.cs.ucla.edu,planetlab2.cs.pitt.edu,2142.12,3205
planetlab2.cs.ucla.edu,planetlab1.cnis.nyit.edu,2475.81,3206
pl1.cs.montana.edu,planetlab1.temple.edu,1844.59,3211
pl2.cs.unm.edu,planetlab2.temple.edu,1749.1,3212
planetlab2.arizona-gigapop.net,planetlab2.cnis.nyit.edu,2138.67,3213
planetlab1.temple.edu,planetlab3.cs.uoregon.edu,2440.52,3213
pl1.cs.montana.edu,planet3.cc.gt.atl.ga.us,1626.05,3213
planetlab-04.vt.nodes.planet-lab.org,planetlab2.cs.uoregon.edu,2259.72,3215
planetlabtwo.ccs.neu.edu,planetlab2.cs.ucla.edu,2601.94,3216
planet3.cc.gt.atl.ga.us,planetlab1.acis.ufl.edu,309.463,3221
planetlab1.ucsd.edu,planetlab1.cnis.nyit.edu,2447.73,3223
planetlab1.temple.edu,pl1.cs.montana.edu,1844.59,3229
75-130-96-12.static.oxfr.ma.charter.com,pl1.cs.montana.edu,1945.63,3230.3333333333335
planetlab3.cnds.jhu.edu,planetlab3.cs.uoregon.edu,2387.39,3232
planetlab3.cs.uoregon.edu,planetlab2.temple.edu,2440.52,3233
planetlab2.unl.edu,planetlab2.cs.pitt.edu,874.778,3235
planetlab2.temple.edu,planetlab3.ucsd.edu,2367.7,3237
planetlab-04.vt.nodes.planet-lab.org,planetlab2.citadel.edu,305.582,3237
pl1.cs.montana.edu,planetlab1.acis.ufl.edu,1905.96,3240
planetlab02.cs.washington.edu,planetlab3.cnds.jhu.edu,2326.5,3241
planet3.cc.gt.atl.ga.us,planetlab2.acis.ufl.edu,309.463,3243
pl1.cs.montana.edu,75-130-96-12.static.oxfr.ma.charter.com,1945.63,3243
planetlab-04.vt.nodes.planet-lab.org,planetlab4.cs.uoregon.edu,2259.72,3246
pl2.cs.unm.edu,planetlab2.unr.edu,785.352,3247
pl3.cs.unm.edu,planetlab2.unl.edu,671.709,3248
planetlab4.cs.uoregon.edu,planetlab1.cs.unc.edu,2367.57,3250
planetlab2.cs.ucla.edu,planetlab2.unl.edu,1277.72,3256
ebb.colgate.edu,planetlab2.cs.uoregon.edu,2352.72,3257
planetlabtwo.ccs.neu.edu,pl1.cs.montana.edu,1980.62,3270
planetlab3.cnds.jhu.edu,planetlab4.cs.uoregon.edu,2387.39,3271.5
planetlab2.cs.ucla.edu,planetlab3.cnds.jhu.edu,2325.4,3272.3333333333335
planetlab1.cs.ucla.edu,planetlab3.cnds.jhu.edu,2325.4,3275
ebb.colgate.edu,planetlab01.cs.washington.edu,2265.25,3278
ebb.colgate.edu,planetlab2.unr.edu,2287.31,3280
planetlab2.cs.du.edu,planetlab2.acis.ufl.edu,1456.94,3283.75
planetlab2.cs.ucla.edu,planetlab02.cs.washington.edu,959.695,3285
pl2.cs.unm.edu,planetlab3.ucsd.edu,625.075,3287.5
pl1.cs.montana.edu,planetlab3.cnds.jhu.edu,1793.8,3292
planetlab1.cs.uml.edu,planetlab3.cs.uoregon.edu,2557.8,3293
planetlab1.cs.uml.edu,planet3.cc.gt.atl.ga.us,935.976,3297
planetlab1.cs.ucla.edu,planetlab3.wail.wisc.edu,1677.84,3299.3333333333335
planetlabone.ccs.neu.edu,planetlab2.acis.ufl.edu,1076.45,3302.2
planetlab3.wail.wisc.edu,planetlab2.acis.ufl.edu,1005.74,3304.3333333333335
planetlab2.uta.edu,planetlab2.temple.edu,1316.19,3313
