source,destination,distance,avg(dd.avgdelay)
node2.planetlab.mathcs.emory.edu,pl1.cs.montana.edu,1628.77,505
pl1.cs.montana.edu,planetlab3.wail.wisc.edu,1081.38,516.5
planetlab1.cnis.nyit.edu,planetlab2.acis.ufl.edu,910.347,522
planetlab2.cs.pitt.edu,planetlab1.unr.edu,2093.1,527.5
pl1.cs.montana.edu,planetlab2.cs.pitt.edu,1602.95,530.3333333333334
planetlab2.cs.du.edu,planetlab1.arizona-gigapop.net,613.476,530.5714285714286
planetlab2.cs.du.edu,planetlab2.arizona-gigapop.net,613.476,531.25
planetlab2.acis.ufl.edu,planetlab3.ucsd.edu,2067.33,536
node2.planetlab.mathcs.emory.edu,planetlab2.unr.edu,1993.27,539.25
planetlab2.citadel.edu,ebb.colgate.edu,733.032,543
planetlab1.cs.okstate.edu,planetlab4.cs.uoregon.edu,1471.11,545.8333333333334
planetlabtwo.ccs.neu.edu,planetlab2.cnis.nyit.edu,171.184,555
planetlab2.cs.unc.edu,planetlab2.acis.ufl.edu,470.121,555
planetlab3.wail.wisc.edu,planetlab01.cs.washington.edu,1616.67,560
planetlab1.arizona-gigapop.net,salt.planetlab.cs.umd.edu,1954.15,562
planetlab3.wail.wisc.edu,planetlab02.cs.washington.edu,1616.67,563
planetlab3.eecs.umich.edu,planetlab1.ucsd.edu,1932.73,564
node2.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,564.5
pl1.cs.montana.edu,planetlab1.unr.edu,614.077,568.6666666666666
planetlab3.wail.wisc.edu,planetlab1.arizona-gigapop.net,1390.94,570.5
planetlab1.unr.edu,pl1.cs.montana.edu,614.077,572
planetlab02.cs.washington.edu,planetlab3.wail.wisc.edu,1616.67,573.2
planetlab1.unr.edu,75-130-96-12.static.oxfr.ma.charter.com,2480.67,574.8
planetlab2.cnis.nyit.edu,planetlab2.cs.uoregon.edu,2494.03,577
planetlab2.acis.ufl.edu,planetlab1.cs.du.edu,1456.94,577.2857142857143
planetlab1.cs.unc.edu,planetlab2.cs.uoregon.edu,2367.57,579
planetlab2.arizona-gigapop.net,planetlab-01.vt.nodes.planet-lab.org,1759.98,580
planetlab2.unl.edu,planetlab2.cs.unc.edu,1010.64,581
