source,destination,distance,avg(dd.avgdelay)
planetlab1.cs.uml.edu,planetlab1.arizona-gigapop.net,2266.19,522
planetlab1.cs.uml.edu,planetlab1.unr.edu,2499.26,535
75-130-96-12.static.oxfr.ma.charter.com,planetlab1.cs.ucla.edu,2562.54,555
planetlab1.cs.uml.edu,planetlab2.cnis.nyit.edu,173.221,558
planetlab2.unl.edu,planetlab2.cs.ucla.edu,1277.72,565
planetlab1.cs.okstate.edu,planetlab2.temple.edu,1218.48,578
planetlab1.cnis.nyit.edu,planetlab2.citadel.edu,655.52,587
planetlab1.cnis.nyit.edu,planetlab1.cs.okstate.edu,1305.74,592
planetlab1.cnis.nyit.edu,ebb.colgate.edu,170.413,602
planetlab1.cs.uml.edu,planetlab2.unl.edu,1308.08,604
planetlab1.cs.uml.edu,planet3.cc.gt.atl.ga.us,935.976,618
planetlab2.cs.ucla.edu,planetlab1.cs.unc.edu,2218.84,619.5
planetlab1.cs.uml.edu,75-130-96-12.static.oxfr.ma.charter.com,36.0409,620
planetlab1.cs.uml.edu,planetlab-04.vt.nodes.planet-lab.org,610.549,620.6666666666666
planetlab2.cs.du.edu,planetlab5.csee.usf.edu,1515.87,662
planetlab3.cnds.jhu.edu,planetlab2.cs.du.edu,1505.97,665
pl2.cs.unm.edu,planetlab2.uta.edu,570.135,665
pl2.cs.unm.edu,planetlab1.cs.du.edu,331.033,666.5
planetlab2.cnis.nyit.edu,planet3.cc.gt.atl.ga.us,765.866,668
pl2.cs.unm.edu,planetlab2.temple.edu,1749.1,668
pl2.cs.unm.edu,planetlab2.cs.pitt.edu,1494.69,669
planet3.cc.gt.atl.ga.us,planetlab1.ucsd.edu,1888.91,670
planetlab1.cs.ucla.edu,planetlab1.cs.uml.edu,2585.79,670
planetlab1.temple.edu,planetlab1.unr.edu,2346.81,671
pl3.cs.unm.edu,node1.planetlab.mathcs.emory.edu,1272.71,675
pl2.cs.unm.edu,planetlab02.cs.washington.edu,1184.83,675
planetlab1.cs.okstate.edu,planetlab2.cs.pitt.edu,968.366,676
node1.planetlab.mathcs.emory.edu,planetlab1.cs.uml.edu,932.44,677
planetlab2.cs.du.edu,planetlab3.cnds.jhu.edu,1505.97,681
planetlab3.wail.wisc.edu,planetlab1.acis.ufl.edu,1005.74,682
planetlab01.cs.washington.edu,planetlab2.uta.edu,1669.92,682
ebb.colgate.edu,planetlab3.cnds.jhu.edu,247.357,682
pl2.cs.unm.edu,planetlab1.cs.unc.edu,1549.05,682
planetlab1.cs.unc.edu,planetlab2.acis.ufl.edu,470.121,683
pl2.cs.unm.edu,planetlab1.cs.uml.edu,1955.47,683
planetlab4.cs.uoregon.edu,pl1.cs.montana.edu,598.377,683
planetlab01.cs.washington.edu,planetlab2.cs.pitt.edu,2137.39,683
planetlab1.cs.uml.edu,planetlab1.cs.ucla.edu,2585.79,683.5
pl2.cs.unm.edu,planetlab2.cs.du.edu,331.033,684
planetlab3.wail.wisc.edu,planetlab2.cs.ucla.edu,1677.84,684
planetlabone.ccs.neu.edu,planetlab2.citadel.edu,821.489,684
planetlab02.cs.washington.edu,planetlab2.unl.edu,1347.65,684
pl3.cs.unm.edu,planetlab2.cs.du.edu,331.033,684
pl3.cs.unm.edu,planetlab2.temple.edu,1749.1,684
planetlab1.cs.du.edu,planetlab3.ucsd.edu,828.441,684
planetlab1.cs.du.edu,planetlab5.csee.usf.edu,1515.87,685
planetlab2.acis.ufl.edu,planetlab1.cs.okstate.edu,965.673,685
planetlab5.csee.usf.edu,planetlab1.cs.du.edu,1515.87,685
planetlab2.unl.edu,planetlab3.ucsd.edu,1258.22,685
planetlab1.cs.ucla.edu,planetlab-04.vt.nodes.planet-lab.org,2132.24,685
planetlab2.cs.ucla.edu,planetlab2.cs.uoregon.edu,731.704,685
pl3.cs.unm.edu,planetlab-01.vt.nodes.planet-lab.org,1466.68,685
pl3.cs.unm.edu,planetlab4.cs.uoregon.edu,1067.98,685.5
planetlab2.cs.uoregon.edu,planetlab3.eecs.umich.edu,1967.73,686
pl2.cs.unm.edu,planetlab3.eecs.umich.edu,1328.53,686
planetlab3.cs.uoregon.edu,planetlab1.cs.uml.edu,2557.8,686
node1.planetlab.mathcs.emory.edu,planetlab1.unr.edu,1993.27,686
planetlab2.temple.edu,planetlab2.uta.edu,1316.19,687
planetlab02.cs.washington.edu,planetlab2.cs.pitt.edu,2137.39,687
pl3.cs.unm.edu,planetlab3.wail.wisc.edu,1075.15,687
pl1.cs.montana.edu,planetlab1.unr.edu,614.077,688
planetlab2.cs.ucla.edu,planetlab3.cnds.jhu.edu,2325.4,688
pl1.cs.montana.edu,planetlab2.unr.edu,614.077,688
planetlab1.cs.uml.edu,planetlab1.ucsd.edu,2563.57,688
planetlab2.arizona-gigapop.net,planetlab3.cnds.jhu.edu,1973.98,688
75-130-96-12.static.oxfr.ma.charter.com,planetlab2.unr.edu,2480.67,688
planetlab2.cs.ucla.edu,planetlab2.cs.unc.edu,2218.84,688
planetlabtwo.ccs.neu.edu,planetlab1.unr.edu,2518.17,688
planetlab2.cs.ucla.edu,planetlab2.unr.edu,385.402,688
planetlab1.cs.uml.edu,planetlab3.eecs.umich.edu,631.168,688
planetlab-04.vt.nodes.planet-lab.org,planetlab2.cs.ucla.edu,2132.24,688.5
pl2.cs.unm.edu,planetlab5.csee.usf.edu,1502.34,689
planetlab5.csee.usf.edu,planetlab1.cs.ucla.edu,2160.94,689
planetlab2.unr.edu,planetlab1.cs.uml.edu,2499.26,689
pl2.cs.unm.edu,ebb.colgate.edu,1743.93,690
planet3.cc.gt.atl.ga.us,planetlab2.cs.uoregon.edu,2173.44,690
planetlab1.cs.ucla.edu,salt.planetlab.cs.umd.edu,2308.86,690
planetlab2.unr.edu,planetlab2.acis.ufl.edu,2222.92,690
planetlab2.citadel.edu,planetlab2.unr.edu,2252.22,690
pl3.cs.unm.edu,planetlab2.unr.edu,785.352,690
planetlab2.cs.pitt.edu,planetlab1.ucsd.edu,2111.92,690
planetlab3.eecs.umich.edu,planetlab2.cs.ucla.edu,1954.72,691
planetlab1.unr.edu,planetlab1.acis.ufl.edu,2222.92,691
planetlab01.cs.washington.edu,planetlab1.cs.uml.edu,2462.92,691
planet3.cc.gt.atl.ga.us,planetlab1.cs.ucla.edu,1942.88,691
planetlab1.cs.ucla.edu,planetlab3.wail.wisc.edu,1677.84,691
planetlab02.cs.washington.edu,planetlab1.cs.uml.edu,2462.92,691
planetlab2.unr.edu,planetlab1.acis.ufl.edu,2222.92,691
planetlab02.cs.washington.edu,planetlab2.citadel.edu,2420.76,691.5
planetlab1.cs.unc.edu,planetlab02.cs.washington.edu,2336.95,691.8
pl3.cs.unm.edu,planetlab1.arizona-gigapop.net,315.844,692
pl3.cs.unm.edu,planetlab1.acis.ufl.edu,1466.62,692
