source,destination,distance,avg(dd.avgdelay)
planetlab2.acis.ufl.edu,planetlab-01.vt.nodes.planet-lab.org,530.866,1141.625
planetlab1.cs.unc.edu,pl1.cs.montana.edu,1789.91,1251.5555555555557
planetlab1.arizona-gigapop.net,planetlab1.cs.ucla.edu,451.607,1098.6666666666667
node2.planetlab.mathcs.emory.edu,ebb.colgate.edu,784.142,1060.4
planetlab2.cs.du.edu,planetlab3.wail.wisc.edu,839.569,1031.5555555555557
planetlab-04.vt.nodes.planet-lab.org,planetlab2.cs.pitt.edu,212.222,1282.8
planetlab-04.vt.nodes.planet-lab.org,planetlabtwo.ccs.neu.edu,612.177,1211
planetlab2.cs.pitt.edu,planetlab5.csee.usf.edu,854.202,1035
planetlab2.unl.edu,planetlab1.cs.du.edu,444.199,1117.1666666666667
planetlab1.cs.uml.edu,planetlab3.ucsd.edu,2563.57,1353.6666666666667
planetlab1.cs.du.edu,planetlab3.cnds.jhu.edu,1505.97,1193.6
planetlab1.cs.du.edu,planetlab3.wail.wisc.edu,839.569,1061.6666666666667
planetlab-04.vt.nodes.planet-lab.org,planetlabone.ccs.neu.edu,612.177,1213.6
node2.planetlab.mathcs.emory.edu,planetlab2.uta.edu,742.086,1206.5
planetlabone.ccs.neu.edu,planetlab3.wail.wisc.edu,931.225,1154.8333333333333
planetlab01.cs.washington.edu,planetlab2.cs.ucla.edu,959.695,1138.2857142857142
planetlab1.cs.okstate.edu,planetlab1.arizona-gigapop.net,836.587,1044.3333333333333
planet3.cc.gt.atl.ga.us,planetlab2.uta.edu,737.916,1168.1538461538462
planetlab1.cs.uml.edu,planetlab2.cnis.nyit.edu,173.221,1004
ebb.colgate.edu,planetlab1.cs.uml.edu,213.892,1346.4444444444443
pl1.cs.montana.edu,planetlab1.cs.unc.edu,1789.91,1272
75-130-96-12.static.oxfr.ma.charter.com,planetlab1.cnis.nyit.edu,137.18,1004.5
planetlab3.wail.wisc.edu,node1.planetlab.mathcs.emory.edu,697.323,1061.875
planetlab1.cs.uml.edu,planetlab1.cs.du.edu,1749.99,1185.5
planetlab1.cs.unc.edu,planetlab2.citadel.edu,221.999,1084.75
planetlab1.cs.uml.edu,planetlab2.arizona-gigapop.net,2266.19,1273.8333333333333
planetlab1.cs.uml.edu,planetlab2.acis.ufl.edu,1082.48,1180
planetlab2.temple.edu,planetlab-04.vt.nodes.planet-lab.org,342.436,1006
