source,destination,distance,avg(dd.avgdelay)
pl2.cs.unm.edu,ebb.colgate.edu,1743.93,2001
ebb.colgate.edu,planetlab1.ucsd.edu,2350.28,2001
planetlab3.ucsd.edu,ebb.colgate.edu,2350.28,2002
planetlab1.acis.ufl.edu,ebb.colgate.edu,981.499,2003
planetlab-04.vt.nodes.planet-lab.org,planetlab1.acis.ufl.edu,530.866,2005
ebb.colgate.edu,planetlab1.acis.ufl.edu,981.499,2006
planetlab4.cs.uoregon.edu,planetlab3.cnds.jhu.edu,2387.39,2010
planetlab2.temple.edu,planetlab3.wail.wisc.edu,765.413,2018
pl1.cs.montana.edu,planetlab1.cnis.nyit.edu,1896.37,2018.5
planetlab3.eecs.umich.edu,pl1.cs.montana.edu,1372.07,2023
planetlab5.csee.usf.edu,ebb.colgate.edu,1089.95,2026
planetlab1.cs.okstate.edu,planetlab1.cs.uml.edu,1440.4,2027
planetlab-04.vt.nodes.planet-lab.org,planetlab2.unr.edu,2123.48,2028
pl3.cs.unm.edu,planetlab2.cs.ucla.edu,674.089,2033
planetlab1.cs.ucla.edu,node2.planetlab.mathcs.emory.edu,1946.8,2033
planetlab-04.vt.nodes.planet-lab.org,planetlab01.cs.washington.edu,2224.59,2042
pl3.cs.unm.edu,planetlab2.cnis.nyit.edu,1831.99,2047
planetlab1.unr.edu,planetlab2.acis.ufl.edu,2222.92,2049
planetlab3.eecs.umich.edu,planetlab2.cs.ucla.edu,1954.72,2053
planetlab-04.vt.nodes.planet-lab.org,planetlab02.cs.washington.edu,2224.59,2053
planetlab02.cs.washington.edu,ebb.colgate.edu,2265.25,2064
node1.planetlab.mathcs.emory.edu,planetlab2.acis.ufl.edu,308.555,2065
planetlab2.temple.edu,planetlab1.cs.uml.edu,271.31,2067
pl3.cs.unm.edu,planetlab2.unr.edu,785.352,2069
pl2.cs.unm.edu,planetlab1.cs.okstate.edu,542.71,2072
ebb.colgate.edu,planetlab4.cs.uoregon.edu,2352.72,2075
