source,destination,distance,avg(dd.avgdelay)
planetlab3.eecs.umich.edu,planetlab2.cs.pitt.edu,238.555,2001
planetlab3.cs.uoregon.edu,planetlabone.ccs.neu.edu,2578.86,2001
planetlab2.cs.ucla.edu,salt.planetlab.cs.umd.edu,2308.86,2002
planetlab3.cnds.jhu.edu,planetlab2.cs.ucla.edu,2325.4,2002
planetlab2.cs.unc.edu,planetlab1.unr.edu,2223.18,2004
planetlab2.cs.uoregon.edu,planetlabone.ccs.neu.edu,2578.86,2005
planetlab2.citadel.edu,planetlab1.cnis.nyit.edu,655.52,2006
planetlab3.wail.wisc.edu,planetlab1.temple.edu,765.413,2006
planetlab01.cs.washington.edu,planetlab2.citadel.edu,2420.76,2009
pl3.cs.unm.edu,planetlab-04.vt.nodes.planet-lab.org,1466.68,2010
planetlab2.acis.ufl.edu,planetlab02.cs.washington.edu,2453.73,2011
planetlab3.cnds.jhu.edu,planetlab1.cs.unc.edu,270.798,2011
pl3.cs.unm.edu,planetlab2.unl.edu,671.709,2011
pl2.cs.unm.edu,planetlab5.csee.usf.edu,1502.34,2012
planetlabone.ccs.neu.edu,planetlab3.cs.uoregon.edu,2578.86,2013
planetlab1.cs.du.edu,planetlab2.cnis.nyit.edu,1646.66,2014
planetlab1.cs.unc.edu,planetlab02.cs.washington.edu,2336.95,2018
planetlab3.cs.uoregon.edu,planetlabtwo.ccs.neu.edu,2578.86,2024
75-130-96-12.static.oxfr.ma.charter.com,planetlab3.cs.uoregon.edu,2543.96,2024.3333333333333
planetlabtwo.ccs.neu.edu,planetlab2.cs.uoregon.edu,2578.86,2025
planetlab1.cs.unc.edu,planetlab01.cs.washington.edu,2336.95,2026.25
planetlab2.unr.edu,planetlab-01.vt.nodes.planet-lab.org,2123.48,2026.3333333333333
planetlab-04.vt.nodes.planet-lab.org,planetlab2.cs.ucla.edu,2132.24,2027
planetlabone.ccs.neu.edu,planetlab3.ucsd.edu,2578.88,2028
planetlab1.unr.edu,planetlab-01.vt.nodes.planet-lab.org,2123.48,2029.6666666666667
planetlab1.ucsd.edu,planetlab1.cnis.nyit.edu,2447.73,2030
pl3.cs.unm.edu,planetlab2.arizona-gigapop.net,315.844,2031
planetlab2.acis.ufl.edu,planetlab01.cs.washington.edu,2453.73,2032
planetlab2.uta.edu,planetlab1.cs.uml.edu,1559.43,2033
pl2.cs.unm.edu,node2.planetlab.mathcs.emory.edu,1272.71,2033
planetlab1.ucsd.edu,planetlab2.temple.edu,2367.7,2036.5
planetlab1.cs.du.edu,planetlab1.cs.ucla.edu,838.534,2038
planetlabtwo.ccs.neu.edu,planetlab1.ucsd.edu,2578.88,2039
planetlab1.unr.edu,planetlab2.cs.unc.edu,2223.18,2039
planetlab2.unr.edu,planetlab2.cs.ucla.edu,385.402,2040
planetlab01.cs.washington.edu,planetlab2.cs.unc.edu,2336.95,2042
planetlab3.ucsd.edu,planetlab1.temple.edu,2367.7,2044
planetlab1.temple.edu,planetlab1.cs.ucla.edu,2398.59,2046.2
planetlab1.cs.unc.edu,pl3.cs.unm.edu,1549.05,2047
planetlab3.cnds.jhu.edu,planetlab1.temple.edu,88.9667,2047
planetlab1.acis.ufl.edu,planetlab01.cs.washington.edu,2453.73,2047
75-130-96-12.static.oxfr.ma.charter.com,planetlab4.cs.uoregon.edu,2543.96,2047.6666666666667
75-130-96-12.static.oxfr.ma.charter.com,planetlab2.cs.uoregon.edu,2543.96,2049.2
