source,destination,distance,avg(dd.avgdelay)
planetlab-04.vt.nodes.planet-lab.org,planetlab2.unr.edu,2123.48,2002
pl3.cs.unm.edu,planetlab3.cs.uoregon.edu,1067.98,2003
planetlab1.temple.edu,planetlab1.acis.ufl.edu,817.442,2013
pl2.cs.unm.edu,planetlabone.ccs.neu.edu,1969.45,2014
pl1.cs.montana.edu,planetlab2.cs.pitt.edu,1602.95,2014
ebb.colgate.edu,planetlab2.cs.uoregon.edu,2352.72,2015
planetlab3.cnds.jhu.edu,planetlab3.cs.uoregon.edu,2387.39,2026
planetlab1.arizona-gigapop.net,planetlab1.cs.uml.edu,2266.19,2049
planetlab1.cs.uml.edu,planetlab1.cs.okstate.edu,1440.4,2053
planetlab1.cs.uml.edu,75-130-96-12.static.oxfr.ma.charter.com,36.0409,2059
pl2.cs.unm.edu,planetlab-04.vt.nodes.planet-lab.org,1466.68,2060
planetlab3.eecs.umich.edu,planetlab1.acis.ufl.edu,875.297,2061
pl2.cs.unm.edu,planetlab-01.vt.nodes.planet-lab.org,1466.68,2063
planetlab1.cs.uml.edu,planetlab1.unr.edu,2499.26,2067
planetlab1.cs.uml.edu,planetlab3.cnds.jhu.edu,358.208,2080
planetlab3.wail.wisc.edu,planetlab2.acis.ufl.edu,1005.74,2084
planetlab2.temple.edu,planetlab3.cs.uoregon.edu,2440.52,2087
planetlab1.cnis.nyit.edu,planetlab1.cs.unc.edu,448.076,2089
planetlab2.unr.edu,ebb.colgate.edu,2287.31,2097
planetlab2.cs.ucla.edu,planetlab1.cs.unc.edu,2218.84,2107
planetlab2.cs.uoregon.edu,ebb.colgate.edu,2352.72,2113
planetlab4.cs.uoregon.edu,planetlab1.acis.ufl.edu,2432.78,2120
planetlab1.cnis.nyit.edu,planetlab5.csee.usf.edu,1012.92,2123
planetlab2.cs.uoregon.edu,planetlab2.acis.ufl.edu,2432.78,2129.5
planetlab2.temple.edu,planetlab1.acis.ufl.edu,817.442,2138
planetlab3.cs.uoregon.edu,planetlab1.cnis.nyit.edu,2494.03,2139
planetlab2.arizona-gigapop.net,planetlab2.acis.ufl.edu,1703.38,2141.5
planetlab2.unl.edu,ebb.colgate.edu,1094.27,2148
planetlab1.acis.ufl.edu,ebb.colgate.edu,981.499,2159
planetlab2.cs.ucla.edu,planetlab2.acis.ufl.edu,2132.9,2159
pl2.cs.unm.edu,planetlab2.cs.uoregon.edu,1067.98,2163.5
pl2.cs.unm.edu,planetlab1.arizona-gigapop.net,315.844,2167
pl3.cs.unm.edu,planetlab1.cnis.nyit.edu,1831.99,2169
planetlab2.temple.edu,planetlab2.acis.ufl.edu,817.442,2180.5
