source,destination,distance,avg(dd.avgdelay)
planetlab2.cs.ucla.edu,pl3.cs.unm.edu,674.089,751
planetlab3.cnds.jhu.edu,planetlab4.cs.uoregon.edu,2387.39,759
pl2.cs.unm.edu,planetlab1.acis.ufl.edu,1466.62,760
planetlab2.cs.ucla.edu,planetlab-01.vt.nodes.planet-lab.org,2132.24,761
planetlab3.cnds.jhu.edu,pl1.cs.montana.edu,1793.8,761
pl2.cs.unm.edu,planetlab1.ucsd.edu,625.075,761
planetlab1.cs.uml.edu,planetlab-04.vt.nodes.planet-lab.org,610.549,777.5
planet3.cc.gt.atl.ga.us,planetlab2.cs.ucla.edu,1942.88,778
planetlab1.cs.uml.edu,planetlabtwo.ccs.neu.edu,24.7867,789.5
planetlab1.cs.uml.edu,planetlab1.cs.ucla.edu,2585.79,797
planetlab1.cs.uml.edu,planetlab3.cs.uoregon.edu,2557.8,798
planetlab2.cs.ucla.edu,planetlab1.cs.uml.edu,2585.79,805
planetlab2.cs.uoregon.edu,planetlab1.cs.uml.edu,2557.8,815
planetlab1.cs.uml.edu,planetlab3.eecs.umich.edu,631.168,815
planetlab1.cs.uml.edu,pl1.cs.montana.edu,1959.66,816.5
planetlab2.cs.ucla.edu,planetlab2.cs.unc.edu,2218.84,817
planetlab2.arizona-gigapop.net,planetlab1.cs.uml.edu,2266.19,826
planetlab2.cs.ucla.edu,planetlabone.ccs.neu.edu,2601.94,829
planetlab2.acis.ufl.edu,planetlab1.cs.uml.edu,1082.48,839
planetlab1.cs.uml.edu,planetlab2.cs.uoregon.edu,2557.8,851
planetlab1.cs.uml.edu,planetlab3.wail.wisc.edu,913.348,860.3333333333334
planetlab1.cs.uml.edu,planetlab1.temple.edu,271.31,861
planetlab1.cs.uml.edu,pl3.cs.unm.edu,1955.47,864.2
planetlab1.cs.uml.edu,planetlab1.cnis.nyit.edu,173.221,869
planetlab1.cs.uml.edu,planetlab2.acis.ufl.edu,1082.48,872
planetlab1.cs.uml.edu,planetlab4.cs.uoregon.edu,2557.8,884.3333333333334
planetlab1.cs.uml.edu,planetlab2.cs.pitt.edu,478.371,887.25
planetlab1.cs.uml.edu,planetlab2.unr.edu,2499.26,888.5
planetlab1.cs.uml.edu,planetlab02.cs.washington.edu,2462.92,889
planetlab1.cs.uml.edu,planetlab1.cs.unc.edu,621.287,900.3333333333334
planetlab2.cnis.nyit.edu,planetlab1.ucsd.edu,2447.73,901
planetlab1.cs.uml.edu,planetlab2.cnis.nyit.edu,173.221,912
planetlab2.citadel.edu,planetlab1.cs.uml.edu,827.514,913
planetlab1.cs.uml.edu,planetlab3.cnds.jhu.edu,358.208,923.5
planetlab1.cs.uml.edu,planetlab01.cs.washington.edu,2462.92,924.25
planetlab1.cs.uml.edu,planetlab2.cs.du.edu,1749.99,939
planetlab1.cs.uml.edu,planetlab2.citadel.edu,827.514,942
planetlab1.cs.uml.edu,planetlab2.unl.edu,1308.08,944
planetlab1.cs.uml.edu,planetlabone.ccs.neu.edu,24.7867,957
planetlab2.unl.edu,planetlab2.cs.ucla.edu,1277.72,984
planetlab1.cs.uml.edu,planetlab2.cs.ucla.edu,2585.79,987
