29,889.3333817267,-3.6310927191,,
608.3333333333,236.9351179812,-1.1859788912,,
613.2222222222,,-1.1653450193,,3.7534890957
615.25,,-1.1567866519,,
632.1111111111,,-1.0856232412,,
650.2222222222,,-1.0091841246,,
653.7777777778,,-0.9941776723,,
677.4444444444,,-0.8942909739,,
689,,-0.8455200038,,
703,,-0.7864320977,,
712.3888888889,,-0.7468056845,,
786.5,,-0.4340149436,,
802.3333333333,,-0.3671893355,,
803.6666666667,,-0.3615619159,,
804.6666666667,,-0.3573413512,,
805.1111111111,,-0.3554655446,,
814.7777777778,,-0.3146667523,,
816.5,,-0.307398002,,
871,,-0.0773772247,,
880.3333333333,,-0.0379852873,,
889.4444444444,,0.0004687468,,
913.7777777778,,0.103169155,,
920.25,,0.1304855877,,
932.1111111111,,0.1805461748,,
1007.3333333333,,0.4980264321,,
1050.1428571429,,0.678706798,,
1057.6666666667,,0.710461523,,
1061.8888888889,,0.7282816852,,
1072.1111111111,,0.7714252357,,
1076.8333333333,,0.7913556802,,
1084.8888888889,,0.8253546737,,
1088.625,,0.8411231725,,
1105.2222222222,,0.9111728231,,
1105.4444444445,,0.9121107263,,
1107.4285714286,,0.9204848627,,
1122.3333333333,,0.9833913749,,
1125.4444444445,,0.9965220207,,
1136.8888888889,,1.0448240392,,
1142.8888888889,,1.0701474275,,
1161.5555555556,,1.1489313023,,
1331.75,,1.8672479701,,
