avgdelay
7
8
8
7
7
8
7
7
7
0
0
0
0
0
0
0
0
27
26
27
26
26
26
26
26
26
27
26
27
26
26
26
26
26
26
101
101
100
101
100
104
106
106
106
104
83
91
88
121
101
79
690
90
80
79
80
78
79
79
79
86
26
26
25
25
26
26
26
27
26
26
26
26
25
25
26
25
26
26
0
0
23
23
23
23
23
23
23
23
23
80
78
79
79
79
78
78
79
78
80
79
79
79
79
79
79
693
78
48
48
50
47
47
47
47
46
47
80
79
79
79
693
79
79
79
79
143
247
602
52
54
69
51
51
51
51
51
75
46
43
42
42
42
42
42
42
41
83
175
176
90
84
83
83
82
92
11
1049
727
830
904
10
121
10
1082
36
34
34
35
34
35
35
34
35
0
0
0
12
11
11
14
11
11
11
11
11
85
727
694
84
145
84
191
93
91
93
92
91
93
91
92
93
47
46
49
51
48
48
48
48
53
80
79
80
79
699
79
79
79
79
61
61
60
60
62
59
60
60
18
37
16
47
51
51
51
58
85
51
50
51
51
31
31
33
21
34
23
26
22
22
692
82
82
91
92
82
101
82
709
33
33
89
88
88
88
88
88
87
89
87
5220
6093
5883
6813
35729
6735
8167
1074
2846
31
30
31
31
30
30
30
31
30
12
11
12
12
11
11
11
11
11
0
0
65
63
64
64
64
64
64
64
64
91
92
92
93
92
92
92
93
92
93
92
93
92
92
92
93
91
92
51
52
50
50
50
50
50
51
50
15
14
15
14
14
14
14
14
14
90
89
89
88
103
89
88
88
89
29
29
30
30
30
30
30
29
29
84
84
93
45
45
44
45
43
44
44
45
90
89
89
89
89
89
696
43
42
42
80
42
63
42
42
42
10
9
9
9
9
10
9
9
9
10
9
9
9
9
9
12
9
9
