1,60.751758658,-1.1677843778,,,,
22.3333333333,51.1667734327,-0.7508471371,,,,
23.3333333333,,-0.7313032039,,,,
24,,-0.7182739151,,,,1.1873283106
24.2222222222,,-0.7139308189,,,,
25,,-0.698729982,,,,
25.2222222222,,-0.6943868857,,,,
27,,-0.6596421156,,,,
28.1111111111,,-0.6379266344,,,,
28.2222222222,,-0.6357550862,,,,
28.8888888889,,-0.6227257974,,,,
29,,-0.6205542493,,,,
29.7777777778,,-0.6053534124,,,,
30.5555555556,,-0.5901525755,,,,
30.5555555556,,-0.5901525755,,,,
32,,-0.5619224498,,,,
35.4444444444,,-0.4946044578,,,,
35.5,,-0.4935186838,,,,
38,,-0.4446588509,,,,
40,,-0.4055709845,,,,
41.2222222222,,-0.3816839551,,,,
41.3333333333,,-0.379512407,,,,
42.4444444444,,-0.3577969257,,,,
46,,-0.2883073856,,,,
46,,-0.2883073856,,,,
51.625,,-0.1783727615,,,,
53.6666666667,,-0.1384705647,,,,
55.2222222222,,-0.1080688909,,,,
59,,-0.0342362545,,,,
59,,-0.0342362545,,,,
59.1111111111,,-0.0320647063,,,,
66.2857142857,,0.1081552586,,,,
66.3333333333,,0.109085922,,,,
74.6666666667,,0.2719520317,,,,
75.1111111111,,0.2806382242,,,,
78.5555555556,,0.3479562162,,,,
86.8888888889,,0.5108223259,,,,
95,,0.6693453393,,,,
105.2222222222,,0.8691277672,,,,
124.6666666667,,1.2491486898,,,,
146.3333333333,,1.672600575,,,,
193.8888888889,,2.6020231742,,,,
198.6666666667,,2.6953997437,,,,
248.6666666667,,3.6725964018,,,,
