ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151024130553,20151024130553,20151024130554,20151024130553,20151024130553,20151024130554,0,0,0,0
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151024130600,20151024130556,20151024130558,20151024130601,20151024130557,20151024130559,403,767,839,670
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151024130610,20151024130602,20151024130607,20151024130612,20151024130604,20151024130609,1865,2135,2360,2120
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151024130622,20151024130620,20151024130621,20151024130622,20151024130620,20151024130621,90,91,97,93
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151024130624,20151024130624,20151024130625,20151024130624,20151024130624,20151024130625,76,80,89,82
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151024130626,20151024130626,20151024130627,20151024130626,20151024130626,20151024130627,0,0,0,0
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151024130628,20151024130630,20151024130631,20151024130629,20151024130631,20151024130633,538,777,2597,1304
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151024130638,20151024130635,20151024130643,20151024130640,20151024130637,20151024130646,1753,2008,3572,2444
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151024130824,20151024130823,20151024130825,20151024130824,20151024130823,20151024130825,69,80,83,77
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151024130825,20151024130828,20151024130827,20151024130825,20151024130828,20151024130827,88,93,371,184
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151024130828,20151024130829,20151024130830,20151024130828,20151024130829,20151024130830,0,0,0,0
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151024130839,20151024130837,20151024130842,20151024130841,20151024130839,20151024130845,1853,1926,3039,2273
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151024130849,20151024130845,20151024130852,20151024130851,20151024130848,20151024130856,1577,3052,4182,2937
ebb.colgate.edu,Harsha-Laptop,file32B.txt,20151024132417,20151024132416,20151024132417,20151024132417,20151024132416,20151024132417,79,81,81,80
ebb.colgate.edu,Harsha-Laptop,file1KB.txt,20151024132419,20151024132419,20151024132418,20151024132419,20151024132419,20151024132418,74,76,82,77
ebb.colgate.edu,Harsha-Laptop,file256KB.txt,20151024132420,20151024132422,20151024132424,20151024132421,20151024132423,20151024132425,1002,1182,1211,1132
ebb.colgate.edu,Harsha-Laptop,file512KB.txt,20151024132432,20151024132428,20151024132427,20151024132433,20151024132429,20151024132428,581,808,828,739
ebb.colgate.edu,Harsha-Laptop,file1MB.txt,20151024132434,20151024132436,20151024132438,20151024132435,20151024132438,20151024132440,85,2010,2109,1401
