localhost,Harsha-Laptop,file32B.txt,20151019165933,20151019165933,20151019165933,20151019165933,20151019165933,20151019165933,0,0,0,0
localhost,Harsha-Laptop,file1KB.txt,20151019165933,20151019165933,20151019165933,20151019165933,20151019165933,20151019165933,0,0,0,0
localhost,Harsha-Laptop,file256KB.txt,20151019165933,20151019165933,20151019165933,20151019165933,20151019165933,20151019165933,21,22,23,22
localhost,Harsha-Laptop,file512KB.txt,20151019165934,20151019165934,20151019165934,20151019165934,20151019165934,20151019165934,38,40,41,40
localhost,Harsha-Laptop,file1MB.txt,20151019165934,20151019165934,20151019165934,20151019165934,20151019165934,20151019165934,77,81,89,82
localhost,Harsha-Laptop,file32B.txt,20151118190421,20151118190421,20151118190421,20151118190421,20151118190421,20151118190421,1,1,1,1
localhost,Harsha-Laptop,file1KB.txt,20151118190421,20151118190421,20151118190421,20151118190421,20151118190421,20151118190421,1,1,1,1
localhost,Harsha-Laptop,file256KB.txt,20151118190421,20151118190421,20151118190421,20151118190421,20151118190421,20151118190421,6,7,9,7
localhost,Harsha-Laptop,file512KB.txt,20151118190421,20151118190421,20151118190421,20151118190421,20151118190421,20151118190421,12,14,16,14
localhost,Harsha-Laptop,file1MB.txt,20151118190421,20151118190421,20151118190421,20151118190421,20151118190421,20151118190421,21,22,26,23
