planet1.unr.edu,University of nevada-Reno,39.5398,-119.814
pl2.cs.unm.edu,University of New Mexico,35.08,-106.65
planetlab2.cnis.nyit.edu,New York Institute of Tech,40.814,-73.6081
planetlab2.rutgers.edu,Rutgers University,40.4896,-74.4082
planetlab2.cs.du.edu,University of Denver,39.6798,-104.963
planetlab2.ucsd.edu,University of California at San Diego,32.877,-117.237
planetlab3.cs.uoregon.edu,University of Oregon,44.04,-123.06
planetlab-01.bu.edu,Boston University,42.35,-71.1
planetlab4.cnds.jhu.edu,Johns Hopkins CNDS,39.33,-76.6
planetlabtwo.ccs.neu.edu,North eastern University CCIS,42.37,-71.03
planetlab1.cs.purdue.edu,Purdue,40.4274,-86.9167
planetlab2.tsuniv.edu,Tennesse University,36.1659,-86.8313
planetlab1.tsuniv.edu,Tennesse University,36.1659,-86.8313
planetlab3.ucsd.edu,University of California at San Diego,32.877,-117.237
pl-node-1.csl.sri.com,SRI International,37.4557,-122.178
node2.planetlab.mathcs.emory.edu,Emory University,33.7895,-84.3255
planetlab5.csee.usf.edu,University of South Florida,28.0587,-82.4152
planetlab1.emich.edu,Eastern Michigan University,42.2477,-83.6226
