Host Name,Site Name,Latitude,Longitude,Boot,Distance,
planetlab-1.cse.ohio-state.edu,Ohio State University,39.98,-83.03,planetlab-1.cse.ohio-state.edu,667 miles,
,,,,planetlab-2.cse.ohio-state.edu,,
,,,,,,
planetlab2.utdallas.edu,University of Texas Dallas - Computer Science,32.9861,-96.75,planetlab1.utdallas.edu,489 miles,
,,,,planetlab2.utdallas.edu,,
,,,,,,
planetlab1.clemson.edu,Clemson University,34.6754,-82.8394,planetlab1.clemson.edu,855 miles,
,,,,planetlab2.clemson.edu,,
,,,,,,
planetlab1.csuohio.edu,Cleveland State University,41.5033,-81.6756,planetlab1.csuohio.edu,773 miles,
,,,,planetlab2.csuohio.edu,,
,,,,,,
planetlab2.cs.uml.edu,University of Massachusetts Lowel,42.6544,-71.3266,planetlab1.cs.uml.edu,1376 miles,
,,,,planetlab2.cs.uml.edu,,
,,,,,,
planetlab3.eecs.umich.edu,University of Michigan,42.2944,-83.7126,planetlab1.eecs.umich.edu,699 miles,
,,,,planetlab2.eecs.umich.edu,,
,,,,planetlab3.eecs.umich.edu,,
,,,,planetlab4.eecs.umich.edu,,
,,,,planetlab5.eecs.umich.edu,,
,,,,,,
planetlab2.citadel.edu,The Citadel,32.7984,-79.9614,planetlab1.citadel.edu,,
,,,,planetlab2.citadel.edu,,
,,,,,,
planet-lab2.cs.ucr.edu,"University of California, Riverside",33.95,-117.39,planet-lab1.cs.ucr.edu,1521 miles,
,,,,planet-lab2.cs.ucr.edu,,
,,,,,,
pl-node-0.csl.sri.com,SRI International,37.4557,-122.178,pl-node-0.csl.sri.com,1795 miles,
,,,,pl-node-1.csl.sri.com,,
,,,,,,
ebb.colgate.edu,Colgate University,42.8189,-75.5357,ebb.colgate.edu,1133 miles,
,,,,flow.colgate.edu,,
,,,,,,
planetlab-02.bu.edu,Boston University,42.35,-71.1,planetlab-01.bu.edu,1392 miles,
,,,,planetlab-02.bu.edu,,
,,,,,,
kc-sce-plab2.umkc.edu,University of Missouri Kansas City,39.0386,-94.5794,kc-sce-plab1.umkc.edu,,
,,,,kc-sce-plab2.umkc.edu,,
,,,,,,
,Tennessee State University,36.1659,-86.8313,planetlab1.tsuniv.edu,548 miles,
,,,,planetlab2.tsuniv.edu,,
,,,,,,
planetlab4.tamu.edu,Texas AM University,30.61,-96.34,planetlab2.tamu.edu,679 miles,
,,,,planetlab3.tamu.edu,,
,,,,planetlab4.tamu.edu,,
,,,,,,
pluto.cs.brown.edu,Brown University,41.82,-71.42,earth.cs.brown.edu,1382 miles,
,,,,jupiter.cs.brown.edu,,
,,,,pluto.cs.brown.edu,,
,,,,,,
planetlab-01.cs.princeton.edu,Princeton,40.3502,-74.6524,f20bootcd.cs.princeton.edu,,
,,,,newbootcd.cs.princeton.edu,,
,,,,pl221nassau0.cs.princeton.edu,,
,,,,planetlab-01.cs.princeton.edu,,
,,,,planetlab-03.cs.princeton.edu,,
,,,,,,
planetlab2.uta.edu,University of Texas at Arlington,32.73,-97.115,planetlab1.uta.edu,,
,,,,planetlab2.uta.edu,,
,,,,,,
plab3.eece.ksu.edu,Kansas State University,39.19,-96.59,plab3.eece.ksu.edu,,
,,,,plab4.eece.ksu.edu,,
,,,,,,
planetlab-02.vt.nodes.planet-lab.org,Virginia Tech,37.2055,-80.4124,planetlab-01.vt.nodes.planet-lab.org,,
,,,,planetlab-02.vt.nodes.planet-lab.org,,
,,,,planetlab-03.vt.nodes.planet-lab.org,,
,,,,planetlab-04.vt.nodes.planet-lab.org,,
,,,,,,
planetlab1.cs.okstate.edu,Oklahoma State University,36.1222,-97.0714,planetlab1.cs.okstate.edu,,
,,,,planetlab2.cs.okstate.edu,,
